TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;65-69 Laki-Laki;65-69 Perempuan;70-74 Laki-Laki;70-74 Perempuan;>75 Laki-Laki;>75  Perempuan
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;0,91;6779;231;235;233;210;171;158;137;126;98;106;72;65;36;33;33;20;13;27
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;3,76;1705;84;88;99;88;72;63;34;29;30;39;29;24;12;21;13;5;5;8
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;3,59;628;255;238;232;234;212;193;150;161;139;101;73;56;18;35;24;25;18;26
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. UNTUNG JAWA;0,59;3625;199;185;178;176;162;139;100;119;97;83;58;56;40;54;26;27;16;13
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. TIDUNG;1,57;3084;98;75;73;94;67;69;60;40;37;32;22;13;18;15;10;18;11;17
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. PARI;1,39;1968;113;112;108;80;66;62;61;63;37;36;32;26;21;14;17;11;8;7
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;GAMBIR;2,58;1350;166;174;130;165;176;162;129;97;108;90;88;42;68;34;37;32;34;23
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;1,26;14584;850;748;749;798;779;766;715;662;614;537;555;343;413;215;259;142;214;165
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO UTARA;1,12;18987;954;920;914;943;871;823;736;679;680;510;544;421;398;235;241;132;215;159
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO SELATAN;1,14;14465;752;675;691;691;659;631;611;514;539;466;428;279;328;160;215;116;150;121
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;KEBON KELAPA;0,78;15890;592;491;447;522;463;487;432;426;432;329;353;263;246;140;152;100;136;72
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;DURI PULO;0,72;35628;1213;1106;1105;1083;1007;967;901;781;742;616;597;404;409;215;255;156;196;138
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;PASAR BARU;1,89;8041;714;611;595;606;607;580;588;522;495;435;486;401;407;265;243;147;203;136
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARANG ANYAR;0,51;63122;1575;1485;1371;1381;1236;1160;1078;995;935;749;793;487;567;308;344;199;258;156
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARTINI;0,55;49862;1307;1177;1172;1153;1089;1011;993;905;877;688;743;515;542;272;360;187;284;180
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;GUNUNG SAHARI UTARA;1,98;9933;817;835;854;847;900;808;804;691;648;525;539;388;458;240;289;184;203;168
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;MANGGA DUA SELATAN;1,29;26203;1683;1662;1481;1459;1257;1284;1120;1033;969;799;729;528;498;310;316;188;252;157
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEMAYORAN;0,55;44202;1164;1063;1013;1026;921;956;845;787;696;601;608;410;414;191;262;163;199;140
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEBON KOSONG;1,13;28014;1644;1542;1397;1415;1331;1168;1049;857;837;650;685;448;448;271;259;186;179;98
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;HARAPAN MULIA;0,91;29205;1256;1213;1204;1222;1144;989;871;743;737;584;619;346;365;218;267;147;171;100
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;SERDANG;0,82;41837;1603;1559;1605;1721;1640;1460;1301;922;901;627;650;418;521;279;358;289;294;180
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;GUNUNG SAHARI SELATAN;0,53;43858;1071;979;973;1016;954;903;855;726;717;602;585;396;460;282;273;169;192;130
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;0,99;38088;1750;1710;1838;1881;1694;1435;1349;1021;983;755;770;498;571;318;462;306;284;180
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;SUMUR BATU;1,15;23271;1452;1372;1305;1226;1202;940;860;710;689;549;636;383;465;279;309;227;205;113
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;UTAN PANJANG;1,05;31889;1610;1549;1462;1442;1299;1276;1163;920;912;731;719;424;395;197;295;179;209;133
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;SENEN;0,81;10158;398;428;362;315;302;278;274;254;224;207;184;152;126;84;73;40;50;31
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;KENARI;0,91;11757;456;447;442;446;449;413;446;360;339;288;271;191;200;96;122;76;88;61
